Segment,Latitude,Longitude,Altitude (m),Time (UTC ISO),Time (UTC),Time (Local),UNIX Epoch Time
1,53.34568725,-6.256302053,5.167525768,2022-10-17T17:28:45.143Z,2022-10-17 17:28:45,2022-10-17 18:28:45,1666027725
1,53.34565699,-6.256289405,5.174069881,2022-10-17T17:28:46.336Z,2022-10-17 17:28:46,2022-10-17 18:28:46,1666027726
1,53.34564134,-6.256281866,5.19604826,2022-10-17T17:28:47.143Z,2022-10-17 17:28:47,2022-10-17 18:28:47,1666027727
1,53.34564383,-6.256285009,5.21892786,2022-10-17T17:28:48.143Z,2022-10-17 17:28:48,2022-10-17 18:28:48,1666027728
1,53.34564386,-6.256299029,5.229297638,2022-10-17T17:28:49.143Z,2022-10-17 17:28:49,2022-10-17 18:28:49,1666027729
1,53.34564604,-6.256307701,5.218026161,2022-10-17T17:28:50.143Z,2022-10-17 17:28:50,2022-10-17 18:28:50,1666027730
1,53.34564747,-6.256319298,5.198709965,2022-10-17T17:28:51.143Z,2022-10-17 17:28:51,2022-10-17 18:28:51,1666027731
1,53.34564837,-6.256353593,5.171341419,2022-10-17T17:28:52.143Z,2022-10-17 17:28:52,2022-10-17 18:28:52,1666027732
1,53.34564993,-6.256381191,5.111005306,2022-10-17T17:28:53.143Z,2022-10-17 17:28:53,2022-10-17 18:28:53,1666027733
1,53.34565232,-6.256400977,5.035442352,2022-10-17T17:28:54.143Z,2022-10-17 17:28:54,2022-10-17 18:28:54,1666027734
1,53.34565329,-6.256448647,4.965524673,2022-10-17T17:28:55.143Z,2022-10-17 17:28:55,2022-10-17 18:28:55,1666027735
1,53.34564999,-6.256466392,4.882050991,2022-10-17T17:28:56.143Z,2022-10-17 17:28:56,2022-10-17 18:28:56,1666027736
1,53.34564818,-6.256478695,4.810830593,2022-10-17T17:28:57.143Z,2022-10-17 17:28:57,2022-10-17 18:28:57,1666027737
1,53.34565205,-6.256519512,4.753851414,2022-10-17T17:28:58.143Z,2022-10-17 17:28:58,2022-10-17 18:28:58,1666027738
1,53.34565243,-6.256556542,4.686135769,2022-10-17T17:28:59.143Z,2022-10-17 17:28:59,2022-10-17 18:28:59,1666027739
1,53.34565673,-6.256595229,4.611506462,2022-10-17T17:29:00.143Z,2022-10-17 17:29:00,2022-10-17 18:29:00,1666027740
1,53.34566439,-6.256647009,4.534904957,2022-10-17T17:29:01.143Z,2022-10-17 17:29:01,2022-10-17 18:29:01,1666027741
1,53.34566829,-6.256689265,4.452675343,2022-10-17T17:29:02.143Z,2022-10-17 17:29:02,2022-10-17 18:29:02,1666027742
1,53.34567498,-6.256721138,4.415565014,2022-10-17T17:29:03.143Z,2022-10-17 17:29:03,2022-10-17 18:29:03,1666027743
1,53.34567363,-6.256753418,4.440724373,2022-10-17T17:29:04.143Z,2022-10-17 17:29:04,2022-10-17 18:29:04,1666027744
1,53.34565719,-6.25678532,4.49889946,2022-10-17T17:29:05.143Z,2022-10-17 17:29:05,2022-10-17 18:29:05,1666027745
1,53.34563762,-6.256825006,4.558289051,2022-10-17T17:29:06.143Z,2022-10-17 17:29:06,2022-10-17 18:29:06,1666027746
1,53.34563151,-6.256854349,4.622153759,2022-10-17T17:29:07.143Z,2022-10-17 17:29:07,2022-10-17 18:29:07,1666027747
1,53.3456312,-6.256879372,4.692985058,2022-10-17T17:29:08.143Z,2022-10-17 17:29:08,2022-10-17 18:29:08,1666027748
