Segment,Latitude,Longitude,Altitude (m),Time (UTC ISO),Time (UTC),Time (Local),UNIX Epoch Time
1,53.34535242,-6.256469112,6.540013313,2022-10-15T06:12:38.905Z,2022-10-15 06:12:39,2022-10-15 07:12:39,1665814359
1,53.34535242,-6.256469112,6.540013313,2022-10-15T06:12:39.905Z,2022-10-15 06:12:40,2022-10-15 07:12:40,1665814360
1,53.34535242,-6.256469112,6.540013313,2022-10-15T06:12:41.905Z,2022-10-15 06:12:42,2022-10-15 07:12:42,1665814362
1,53.34535242,-6.256469112,6.540013313,2022-10-15T06:12:42.905Z,2022-10-15 06:12:43,2022-10-15 07:12:43,1665814363
1,53.34535242,-6.256469112,6.540013313,2022-10-15T06:12:44.149Z,2022-10-15 06:12:44,2022-10-15 07:12:44,1665814364
1,53.34535242,-6.256469112,6.540013313,2022-10-15T06:12:45.149Z,2022-10-15 06:12:45,2022-10-15 07:12:45,1665814365
1,53.34535242,-6.256469112,6.540013313,2022-10-15T06:12:46.149Z,2022-10-15 06:12:46,2022-10-15 07:12:46,1665814366
1,53.34535242,-6.256469112,6.540013313,2022-10-15T06:12:47.149Z,2022-10-15 06:12:47,2022-10-15 07:12:47,1665814367
1,53.34535242,-6.256469112,6.540013313,2022-10-15T06:12:48.149Z,2022-10-15 06:12:48,2022-10-15 07:12:48,1665814368
1,53.34535242,-6.256469112,6.540013313,2022-10-15T06:12:49.149Z,2022-10-15 06:12:49,2022-10-15 07:12:49,1665814369
1,53.34535242,-6.256469112,6.540013313,2022-10-15T06:12:50.000Z,2022-10-15 06:12:50,2022-10-15 07:12:50,1665814370
1,53.34535242,-6.256469112,6.540013313,2022-10-15T06:12:51.000Z,2022-10-15 06:12:51,2022-10-15 07:12:51,1665814371
1,53.34535532,-6.256604678,4.793251038,2022-10-15T06:12:52.000Z,2022-10-15 06:12:52,2022-10-15 07:12:52,1665814372
1,53.34536165,-6.256606493,4.667924404,2022-10-15T06:12:53.000Z,2022-10-15 06:12:53,2022-10-15 07:12:53,1665814373
1,53.34538083,-6.256611,4.645641327,2022-10-15T06:12:54.000Z,2022-10-15 06:12:54,2022-10-15 07:12:54,1665814374
1,53.34536946,-6.256580056,4.616287231,2022-10-15T06:12:55.000Z,2022-10-15 06:12:55,2022-10-15 07:12:55,1665814375
