time,gFx,gFy,gFz,
2022-10-20 19:15:38,0.072,-0.366,-0.92,0.993
2022-10-20 19:15:38,0.083,-0.374,-0.922,0.998
2022-10-20 19:15:38,0.104,-0.389,-0.929,1.013
2022-10-20 19:15:38,0.092,-0.397,-0.93,1.015
2022-10-20 19:15:38,0.085,-0.395,-0.952,1.034
2022-10-20 19:15:38,0.081,-0.386,-0.968,1.045
2022-10-20 19:15:38,0.074,-0.375,-0.977,1.049
2022-10-20 19:15:38,0.075,-0.371,-0.962,1.034
2022-10-20 19:15:38,0.075,-0.371,-0.962,1.034
2022-10-20 19:15:38,0.074,-0.374,-0.935,1.01
2022-10-20 19:15:38,0.071,-0.377,-0.903,0.981
2022-10-20 19:15:38,0.062,-0.381,-0.877,0.958
2022-10-20 19:15:38,0.068,-0.392,-0.867,0.954
2022-10-20 19:15:38,0.071,-0.392,-0.872,0.959
2022-10-20 19:15:38,0.073,-0.398,-0.881,0.969
2022-10-20 19:15:38,0.07,-0.397,-0.893,0.98
2022-10-20 19:15:38,0.072,-0.397,-0.913,0.998
2022-10-20 19:15:38,0.067,-0.405,-0.938,1.024
2022-10-20 19:15:38,0.067,-0.405,-0.938,1.024
2022-10-20 19:15:38,0.067,-0.405,-0.938,1.024
2022-10-20 19:15:38,0.067,-0.41,-0.919,1.009
2022-10-20 19:15:38,0.068,-0.413,-0.909,1.001
2022-10-20 19:15:38,0.07,-0.417,-0.893,0.988
2022-10-20 19:15:38,0.07,-0.418,-0.896,0.991
2022-10-20 19:15:38,0.08,-0.411,-0.942,1.031
2022-10-20 19:15:38,0.084,-0.395,-0.981,1.061
2022-10-20 19:15:38,0.089,-0.386,-1.002,1.077
2022-10-20 19:15:38,0.042,-0.422,-0.944,1.035
2022-10-20 19:15:38,0.042,-0.422,-0.944,1.035
2022-10-20 19:15:38,0.042,-0.422,-0.944,1.035
2022-10-20 19:15:38,0.068,-0.447,-0.892,1
2022-10-20 19:15:38,0.058,-0.454,-0.865,0.979
2022-10-20 19:15:38,0.038,-0.441,-0.87,0.976
2022-10-20 19:15:38,0.049,-0.438,-0.872,0.977
2022-10-20 19:15:38,0.055,-0.431,-0.868,0.971
2022-10-20 19:15:38,0.059,-0.425,-0.874,0.974
2022-10-20 19:15:38,0.053,-0.421,-0.888,0.984
2022-10-20 19:15:38,0.038,-0.416,-0.934,1.023
2022-10-20 19:15:38,0.038,-0.416,-0.934,1.023
2022-10-20 19:15:38,0.038,-0.416,-0.934,1.023
2022-10-20 19:15:38,0.046,-0.417,-0.936,1.026
2022-10-20 19:15:38,0.051,-0.419,-0.934,1.025
2022-10-20 19:15:38,0.052,-0.418,-0.924,1.015
2022-10-20 19:15:38,0.052,-0.416,-0.913,1.005
2022-10-20 19:15:38,0.056,-0.415,-0.905,0.997
2022-10-20 19:15:38,0.058,-0.41,-0.908,0.998
2022-10-20 19:15:38,0.061,-0.407,-0.921,1.009
2022-10-20 19:15:38,0.045,-0.41,-0.943,1.029
2022-10-20 19:15:38,0.045,-0.41,-0.943,1.029
2022-10-20 19:15:38,0.045,-0.41,-0.943,1.029
2022-10-20 19:15:38,0.043,-0.41,-0.941,1.027
2022-10-20 19:15:38,0.042,-0.414,-0.927,1.016
2022-10-20 19:15:38,0.041,-0.413,-0.91,1
2022-10-20 19:15:38,0.047,-0.412,-0.907,0.997
2022-10-20 19:15:38,0.047,-0.412,-0.915,1.005
2022-10-20 19:15:38,0.052,-0.407,-0.934,1.02
2022-10-20 19:15:38,0.059,-0.406,-0.953,1.038
2022-10-20 19:15:38,0.059,-0.423,-0.927,1.021
2022-10-20 19:15:38,0.059,-0.423,-0.927,1.021
2022-10-20 19:15:38,0.059,-0.423,-0.927,1.021
2022-10-20 19:15:38,0.051,-0.426,-0.911,1.007
2022-10-20 19:15:38,0.052,-0.426,-0.897,0.994
2022-10-20 19:15:38,0.058,-0.423,-0.876,0.975
2022-10-20 19:15:38,0.053,-0.422,-0.867,0.966
2022-10-20 19:15:38,0.054,-0.428,-0.87,0.971
2022-10-20 19:15:38,0.057,-0.401,-0.88,0.969
2022-10-20 19:15:38,0.042,-0.381,-0.89,0.969
2022-10-20 19:15:39,-0.073,-0.194,-1.002,1.023
2022-10-20 19:15:39,-0.073,-0.194,-1.002,1.023
2022-10-20 19:15:39,-0.073,-0.194,-1.002,1.023
2022-10-20 19:15:39,-0.114,-0.256,-1.032,1.069
2022-10-20 19:15:39,-0.085,-0.32,-0.992,1.046
2022-10-20 19:15:39,0.013,-0.386,-0.949,1.025
2022-10-20 19:15:39,0.222,-0.483,-0.932,1.073
2022-10-20 19:15:39,0.15,-0.472,-0.933,1.056
2022-10-20 19:15:39,0.086,-0.452,-0.92,1.029
2022-10-20 19:15:39,0.061,-0.445,-0.868,0.977
2022-10-20 19:15:39,0.032,-0.392,-0.879,0.963
2022-10-20 19:15:39,0.032,-0.392,-0.879,0.963
2022-10-20 19:15:39,0.032,-0.392,-0.879,0.963
2022-10-20 19:15:39,0.025,-0.364,-0.869,0.942
2022-10-20 19:15:39,0.057,-0.379,-0.864,0.945
2022-10-20 19:15:39,0.099,-0.414,-0.878,0.976
2022-10-20 19:15:39,0.133,-0.46,-0.895,1.015
2022-10-20 19:15:39,0.159,-0.486,-0.879,1.017
2022-10-20 19:15:39,0.181,-0.486,-0.854,0.999
2022-10-20 19:15:39,0.202,-0.476,-0.841,0.987
2022-10-20 19:15:39,0.242,-0.509,-0.881,1.046
2022-10-20 19:15:39,0.222,-0.52,-1.022,1.168
2022-10-20 19:15:39,0.222,-0.52,-1.022,1.168
2022-10-20 19:15:39,0.222,-0.52,-1.022,1.168
2022-10-20 19:15:39,0.241,-0.496,-1.063,1.198
2022-10-20 19:15:39,0.262,-0.546,-0.844,1.039
2022-10-20 19:15:39,0.555,-0.623,-0.53,0.988
2022-10-20 19:15:39,0.492,-0.769,-0.686,1.142
2022-10-20 19:15:39,0.094,-0.612,-0.975,1.155
2022-10-20 19:15:39,0.24,-0.658,-0.926,1.161
2022-10-20 19:15:39,0.165,-0.719,-0.706,1.021
2022-10-20 19:15:39,0.165,-0.719,-0.706,1.021
2022-10-20 19:15:39,0.165,-0.719,-0.706,1.021
2022-10-20 19:15:39,0.152,-0.649,-0.651,0.932
2022-10-20 19:15:39,0.152,-0.615,-0.725,0.963
2022-10-20 19:15:39,0.179,-0.622,-0.79,1.021
2022-10-20 19:15:39,0.173,-0.652,-0.821,1.063
2022-10-20 19:15:39,0.168,-0.657,-0.807,1.054
2022-10-20 19:15:39,0.167,-0.728,-0.816,1.106
2022-10-20 19:15:39,0.161,-0.801,-0.839,1.171
2022-10-20 19:15:39,0.184,-0.939,-0.913,1.323
2022-10-20 19:15:39,0.184,-0.939,-0.913,1.323
2022-10-20 19:15:39,0.184,-0.939,-0.913,1.323
2022-10-20 19:15:39,0.21,-0.935,-0.922,1.33
2022-10-20 19:15:39,0.239,-0.916,-0.943,1.336
2022-10-20 19:15:39,0.281,-0.912,-0.977,1.366
2022-10-20 19:15:39,0.317,-0.899,-1.008,1.387
2022-10-20 19:15:39,0.334,-0.89,-0.993,1.375
2022-10-20 19:15:39,0.325,-0.89,-0.92,1.321
2022-10-20 19:15:39,0.309,-0.917,-0.809,1.261
