Segment,Latitude,Longitude,Altitude (m),Time (UTC ISO),Time (UTC),Time (Local),UNIX Epoch Time
1,53.34534723,-6.256383897,4.885847569,2022-10-12T15:54:12.089Z,2022-10-12 15:54:12,2022-10-12 16:54:12,1665590052
1,53.34533978,-6.256398247,4.876404285,2022-10-12T15:54:16.145Z,2022-10-12 15:54:16,2022-10-12 16:54:16,1665590056
1,53.34533677,-6.256457852,4.818296909,2022-10-12T15:54:17.089Z,2022-10-12 15:54:17,2022-10-12 16:54:17,1665590057
1,53.34534132,-6.256475775,4.81815052,2022-10-12T15:54:18.089Z,2022-10-12 15:54:18,2022-10-12 16:54:18,1665590058
1,53.34534442,-6.256483916,4.80880785,2022-10-12T15:54:19.089Z,2022-10-12 15:54:19,2022-10-12 16:54:19,1665590059
1,53.34534485,-6.256491365,4.800406456,2022-10-12T15:54:21.000Z,2022-10-12 15:54:21,2022-10-12 16:54:21,1665590061
1,53.34534216,-6.256501981,4.792164326,2022-10-12T15:54:22.000Z,2022-10-12 15:54:22,2022-10-12 16:54:22,1665590062
1,53.34534469,-6.256514966,4.78592205,2022-10-12T15:54:23.001Z,2022-10-12 15:54:23,2022-10-12 16:54:23,1665590063
1,53.34534321,-6.256525838,4.777023792,2022-10-12T15:54:24.001Z,2022-10-12 15:54:24,2022-10-12 16:54:24,1665590064
1,53.34533809,-6.256533018,4.768838406,2022-10-12T15:54:25.001Z,2022-10-12 15:54:25,2022-10-12 16:54:25,1665590065
1,53.34533435,-6.256542529,4.764713764,2022-10-12T15:54:26.001Z,2022-10-12 15:54:26,2022-10-12 16:54:26,1665590066
1,53.3453358,-6.256564826,4.762255192,2022-10-12T15:54:27.001Z,2022-10-12 15:54:27,2022-10-12 16:54:27,1665590067
1,53.34533597,-6.256571333,4.754088879,2022-10-12T15:54:28.001Z,2022-10-12 15:54:28,2022-10-12 16:54:28,1665590068
1,53.34534087,-6.256583113,4.746539593,2022-10-12T15:54:29.001Z,2022-10-12 15:54:29,2022-10-12 16:54:29,1665590069
1,53.3453414,-6.256594455,4.734410286,2022-10-12T15:54:30.001Z,2022-10-12 15:54:30,2022-10-12 16:54:30,1665590070
1,53.34534571,-6.256615129,4.722486019,2022-10-12T15:54:31.001Z,2022-10-12 15:54:31,2022-10-12 16:54:31,1665590071
1,53.34535121,-6.256644065,4.704576969,2022-10-12T15:54:32.001Z,2022-10-12 15:54:32,2022-10-12 16:54:32,1665590072
1,53.34535574,-6.256682731,4.677586079,2022-10-12T15:54:33.001Z,2022-10-12 15:54:33,2022-10-12 16:54:33,1665590073
1,53.34536836,-6.256755906,4.651850224,2022-10-12T15:54:34.001Z,2022-10-12 15:54:34,2022-10-12 16:54:34,1665590074
1,53.34538057,-6.256804001,4.64945507,2022-10-12T15:54:35.001Z,2022-10-12 15:54:35,2022-10-12 16:54:35,1665590075
1,53.3453791,-6.256839275,4.660898685,2022-10-12T15:54:36.001Z,2022-10-12 15:54:36,2022-10-12 16:54:36,1665590076
1,53.34536568,-6.256885135,4.68589735,2022-10-12T15:54:37.001Z,2022-10-12 15:54:37,2022-10-12 16:54:37,1665590077
1,53.34534541,-6.256922782,4.727127552,2022-10-12T15:54:38.001Z,2022-10-12 15:54:38,2022-10-12 16:54:38,1665590078
1,53.34533496,-6.25696702,4.771855354,2022-10-12T15:54:39.001Z,2022-10-12 15:54:39,2022-10-12 16:54:39,1665590079
1,53.34532186,-6.257027385,4.808102608,2022-10-12T15:54:40.001Z,2022-10-12 15:54:40,2022-10-12 16:54:40,1665590080
1,53.34531672,-6.257062602,4.831574917,2022-10-12T15:54:41.001Z,2022-10-12 15:54:41,2022-10-12 16:54:41,1665590081
1,53.34530922,-6.25705996,4.846315861,2022-10-12T15:54:42.001Z,2022-10-12 15:54:42,2022-10-12 16:54:42,1665590082
1,53.34529053,-6.257090299,4.855532169,2022-10-12T15:54:43.001Z,2022-10-12 15:54:43,2022-10-12 16:54:43,1665590083
1,53.3452722,-6.257119389,4.861287594,2022-10-12T15:54:44.001Z,2022-10-12 15:54:44,2022-10-12 16:54:44,1665590084
1,53.34523497,-6.257147157,4.869155407,2022-10-12T15:54:45.001Z,2022-10-12 15:54:45,2022-10-12 16:54:45,1665590085
1,53.34518404,-6.257197634,4.908226013,2022-10-12T15:54:46.001Z,2022-10-12 15:54:46,2022-10-12 16:54:46,1665590086
1,53.34514108,-6.25723463,5.001970291,2022-10-12T15:54:47.001Z,2022-10-12 15:54:47,2022-10-12 16:54:47,1665590087
